# frame t_err(m) r_err(deg) dx dy dz
327 0.097284 1.445961 0.012940 -0.043784 -0.085905
328 0.080702 1.494930 0.011900 -0.005556 -0.079627
329 0.073745 1.584070 0.004099 -0.015501 -0.071981
330 0.090472 1.599827 -0.000709 -0.032121 -0.084575
331 0.099542 1.622159 -0.007566 -0.035926 -0.092525
332 0.097461 1.593517 -0.012495 -0.005303 -0.096511
333 0.089036 1.597875 0.008511 0.010231 -0.088036
334 0.093652 1.312422 0.010707 0.035392 -0.086043
335 0.090814 1.220339 0.006662 0.038722 -0.081874
336 0.065583 1.438539 0.023483 0.007649 -0.060754
337 0.058808 1.740307 0.035924 -0.024785 -0.039416
338 0.061764 1.673219 0.037915 -0.027266 -0.040420
339 0.068631 1.774290 0.040445 -0.022004 -0.050895
340 0.078035 1.911379 0.036166 0.011164 -0.068241
341 0.087018 1.993217 0.056648 0.007183 -0.065662
342 0.072933 1.955179 0.036628 -0.017793 -0.060506
343 0.066121 2.188171 0.052016 -0.040741 0.002555
344 0.080055 2.011307 0.039466 -0.035629 0.059848
345 0.106471 2.105707 0.053409 -0.047172 0.079110
346 0.094168 2.158322 0.051855 -0.058037 0.053014
347 0.083527 2.431761 0.050749 -0.057796 0.032570
348 0.056272 2.511095 0.050386 -0.023947 0.007373
349 0.062188 2.508279 0.057260 0.003621 -0.023990
350 0.068600 2.468061 0.032693 0.021106 -0.056495
351 0.076098 2.478736 0.029688 -0.017416 -0.067870
352 0.077256 2.289274 -0.001861 -0.013583 -0.076030
353 0.079125 2.376608 0.021065 -0.004819 -0.076117
354 0.078211 2.261911 0.024316 -0.000387 -0.074334
355 0.080885 2.225446 0.039814 -0.004170 -0.070284
356 0.074697 2.160803 0.019541 -0.005355 -0.071897
357 0.086979 2.021333 -0.012805 -0.003479 -0.085961
358 0.105777 1.613598 -0.032543 -0.009470 -0.100199
359 0.102931 1.719720 -0.035831 -0.002417 -0.096463
360 0.089927 1.762984 -0.013177 -0.011895 -0.088157
361 0.076393 1.616637 -0.019510 0.002094 -0.073830
362 0.093908 1.566731 -0.028143 0.000482 -0.089591
