# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
192 0.99824 -0.05594 -0.01979 -0.42347 0.05624 0.99831 0.01474 -6.49042 0.01893 -0.01582 0.99970 -0.02674
193 0.99852 -0.05102 -0.01891 -0.42594 0.05130 0.99858 0.01458 -6.53402 0.01814 -0.01552 0.99971 -0.02425
194 0.99867 -0.04830 -0.01788 -0.40546 0.04860 0.99868 0.01651 -6.56550 0.01706 -0.01735 0.99970 -0.02551
195 0.99880 -0.04456 -0.02020 -0.40207 0.04493 0.99883 0.01810 -6.60132 0.01937 -0.01899 0.99963 -0.02398
196 0.99893 -0.04078 -0.02199 -0.43814 0.04118 0.99899 0.01811 -6.64588 0.02123 -0.01899 0.99959 -0.02312
197 0.99905 -0.03701 -0.02322 -0.42492 0.03740 0.99916 0.01689 -6.66799 0.02258 -0.01774 0.99959 -0.02275
198 0.99921 -0.03234 -0.02303 -0.40608 0.03273 0.99932 0.01700 -6.72162 0.02247 -0.01774 0.99959 -0.02352
199 0.99931 -0.02750 -0.02489 -0.43941 0.02789 0.99949 0.01542 -6.76548 0.02446 -0.01610 0.99957 -0.02247
200 0.99944 -0.02433 -0.02315 -0.41629 0.02469 0.99957 0.01551 -6.77898 0.02276 -0.01607 0.99961 -0.02687
201 0.99957 -0.01788 -0.02333 -0.43847 0.01820 0.99974 0.01391 -6.84375 0.02307 -0.01433 0.99963 -0.02885
202 0.99970 -0.01324 -0.02060 -0.42308 0.01350 0.99983 0.01254 -6.88020 0.02043 -0.01281 0.99971 -0.02499
